Date,Country,Population,Total Tests,Total Cases,Total Deaths,Total Recovered,Serious or Critical,Active Cases
2020-10-11,Bahamas,394303,24502,5078,107,2900,112,2071
2020-10-11,Equatorial Guinea,1415483,62615,5063,83,4894,2,86
2020-10-11,Suriname,588115,15620,5051,107,4845,5,99
2020-10-11,Rwanda,13040499,518988,4896,31,3606,,1259
2020-10-11,CAR,4853142,32711,4854,62,1924,2,2868
2020-10-11,Sri Lanka,21438760,328504,4752,13,3307,,1432
2020-10-11,Syria,17617650,,4718,224,1296,,3198
2020-10-11,Réunion,897119,35419,4491,16,3994,17,481
2020-10-11,Aruba,106895,34631,4194,33,3768,12,393
2020-10-11,Mayotte,274627,13000,3989,43,2964,4,982
2020-10-11,Estonia,1326790,232360,3865,68,2958,3,839
2020-10-11,Somalia,16014494,,3864,99,3089,,676
2020-10-11,Malta,441878,280155,3776,41,2967,9,768
2020-10-11,Thailand,69849867,749213,3636,59,3451,1,126
2020-10-11,Gambia,2435231,18043,3632,117,2543,,972
2020-10-11,Iceland,341870,308641,3526,10,2499,3,1017
2020-10-11,Guyana,787629,15963,3469,103,2318,16,1048
2020-10-11,Botswana,2364784,224692,3219,18,834,1,2367
2020-10-11,Mali,20410113,60180,3286,132,2527,,627
2020-10-11,French Polynesia,281368,26355,2754,10,2019,7,725
2020-10-11,Andorra,77300,137457,2696,55,1814,9,827
2020-10-11,South Sudan,11230588,12044,2777,55,1290,,1432
2020-10-11,Latvia,1880145,361843,2670,40,1322,4,1308
2020-10-11,Belize,399635,17500,2496,36,1531,5,929
2020-10-11,Benin,12210302,203831,2411,41,1973,,397
2020-10-11,Guinea-Bissau,1980815,,2385,40,1728,5,617
2020-10-11,Uruguay,3477154,264087,2294,50,1942,2,302
2020-10-11,Sierra Leone,8021921,,2306,72,1736,,498
2020-10-11,Burkina Faso,21060169,,2271,61,1542,,668
2020-10-11,Yemen,30007426,,2052,595,1329,,128
2020-10-11,Cyprus,1209845,415095,2006,25,1444,2,537
2020-10-11,Togo,8332196,101086,1940,49,1457,,434
2020-10-11,New Zealand,5002100,1000764,1871,25,1801,,45
2020-10-11,Martinique,375182,39379,1851,22,98,14,1731
2020-10-11,Lesotho,2147047,20909,1805,42,961,,802
2020-10-11,Liberia,5090438,30332,1363,82,1245,2,36
2020-10-11,Chad,16554598,,1304,92,1115,,97
2020-10-11,Niger,24442818,28191,1201,69,1123,9,9
2020-10-11,Vietnam,97585632,1009145,1109,35,1024,,50
2020-10-11,Sao Tome and Principe,220290,5349,929,15,892,,22
